0.0012543987026511	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Nocardioidaceae	Marmoricola_A_392027	Marmoricola_A_392027 aquaticus
0.003523781764429	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Nocardioidaceae	Marmoricola_A_392027	Marmoricola_A_392027 endophyticus
0.0042079405024536	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales_A_504705	Beijerinckiaceae	Methylocella	Methylocella palustris
0.0034108775553777	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter_A	Mucilaginibacter_A ginkgonis
0.002085498320374	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter_A	Mucilaginibacter_A ximonensis
0.0047083209260363	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	OMJO01	OMJO01	OMJO01 sp900299395
0.0036234274738049	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	Spirosoma metallilatum
0.0043475142030197	Bacteria	Actinobacteriota	Actinomycetia	Sporichthyales	Sporichthyaceae	Sporichthya	Sporichthya polymorpha
0.0006446425182321	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	VFJQ01	VFJQ01 sp009885995
0.0020185056062336	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775
0.004448091358473	Bacteria	Firmicutes_D	Bacilli	Bacillales_B_302584	DSM-18226_301387	Neobacillus	Neobacillus niacini_A_295841
0.0019148528038705	Bacteria	Firmicutes_D	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus arlettae
0.0022189731394914	Bacteria	Firmicutes_A	Clostridia_258483	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna_H
0.0043005492165643	Bacteria	Firmicutes_D	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
0.0016394008247826	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales_616023	UBA2363	Pseudofulvimonas	Pseudofulvimonas gallinarii
0.0036449949388213	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales_660879	Moraxellaceae	Acinetobacter	Acinetobacter indicus
0.0032540352622152	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales_877923	Weeksellaceae	Cloacibacterium	Cloacibacterium normanense
0.0046856839885535	Bacteria	Actinobacteriota	Actinomycetia	Jiangellales	Jiangellaceae	Phytoactinopolyspora	Phytoactinopolyspora mesophila
0.0030501463486424	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila_D_776786
0.0032661663644558	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes_A_871400	Alistipes_A_871400 sp002362235
