Bactrocera olea	Erwinia	Pseudomonadota
Bactrocera oleae	Cladosporium	Ascomycota
Bactrocera oleae	Erwinia	Pseudomonadota
Bactrocera oleae	Kuraishia	Ascomycota
Bactrocera oleae	Lachancea	Ascomycota
Bactrocera oleae	Pantoea	Pseudomonadota
Bactrocera oleae	Peterozyma	Ascomycota
Bactrocera oleae	Scheffersomyces	Ascomycota
Bactrocera oleae	Wickerhamomyces	Ascomycota
Bactrocera tau	Cedecea	Pseudomonadota
Bactrocera tau	Citrobacter	Pseudomonadota
Bactrocera tau	Enterobacter	Pseudomonadota
Bactrocera tau	Klebsiella	Pseudomonadota
Bactrocera tau	Providencia	Pseudomonadota
Bactrocera tau	Raoultella	Pseudomonadota
Bactrocera tau	Serratia	Pseudomonadota
Bactrocera tryoni	Amylostereum	Basidiomycota
Bactrocera tryoni	Candida	Ascomycota
Bactrocera tryoni	Cryptococcus	Basidiomycota
Bactrocera tryoni	Hanseniaspora	Ascomycota
Bactrocera tryoni	Pichia	Ascomycota
Bactrocera tryoni	Starmerella	Ascomycota
Baizongia pistaciae	Buchnera	Pseudomonadota
Bathycoelia distincta	Pantoea	Pseudomonadota
Belgica antarctica	Serratia	Pseudomonadota
Bemisia tabaci	Arsenophonus	Pseudomonadota
Bemisia tabaci	Buchnera	Pseudomonadota
Bemisia tabaci	Candidatus Cardinium	Bacteroidota
Bemisia tabaci	Candidatus Hamiltonella	Pseudomonadota
Bemisia tabaci	Candidatus Hemipteriphilus	Pseudomonadota
Bemisia tabaci	Candidatus Portiera	Pseudomonadota
Bemisia tabaci	Halomonas	Pseudomonadota
Bemisia tabaci	Portiera	Pseudomonadota
Bemisia tabaci	Rickettsia	Pseudomonadota
Bemisia tabaci	Wolbachia	Pseudomonadota
Blatta orientalis	Blattabacterium	Bacteroidota
Blattaria	Nephridiophaga	Other
Blattella germanica	Acinetobacter	Pseudomonadota
Blattella germanica	Blattabacterium	Bacteroidota
Blattella germanica	Candidatus Blochmanniella	Pseudomonadota
Blattella germanica	Enterococcus	Bacillota
Blattella germanica	Lachnospira	Bacillota
Blattella germanica	Pseudomonas	Pseudomonadota
Blattella germanica	Salmonella	Pseudomonadota
Blattella germanica	Stenotrophomonas	Pseudomonadota
Blattella germanica	Weissella	Bacillota
Blattella germanica	Wolbachia	Pseudomonadota
Blissus insularis	Burkholderia	Pseudomonadota
Bombus impatiens	Candidatus Schmidhempelia	Pseudomonadota
Bombus sonorus	Burkholderia	Pseudomonadota
Bombus spp.	Lactobacillus	Bacillota
Bombus spp.	Snodgrassella	Pseudomonadota
Bombyx mori	Aeromonas	Pseudomonadota
Bombyx mori	Alternaria	Ascomycota
Bombyx mori	Bacillus	Bacillota
Bombyx mori	Brevibacterium	Actinomycetota
Bombyx mori	Citrobacter	Pseudomonadota
Bombyx mori	Coprinellus	Basidiomycota
Bombyx mori	Corynebacterium	Actinomycetota
Bombyx mori	Enterococcus	Bacillota
Bombyx mori	Erwinia	Pseudomonadota
Bombyx mori	Francisella	Pseudomonadota
Bombyx mori	Klebsiella	Pseudomonadota
Bombyx mori	Mammaliicoccus	Bacillota
Bombyx mori	Pantoea	Pseudomonadota
Bombyx mori	Preussia	Ascomycota
Bombyx mori	Proteus	Pseudomonadota
Bombyx mori	Pseudomonas	Pseudomonadota
Bombyx mori	Serratia	Pseudomonadota
Bombyx mori	Staphylococcus	Bacillota
Bombyx mori	Stenotrophomonas	Pseudomonadota
Bombyx mori	Streptomyces	Actinomycetota
Bostrichidae	Candidatus Bostrichicola	Bacteroidota
Bostrichidae	Candidatus Shikimatogenerans	Bacteroidota
Brachinus elongatulus	Dysgonomonas	Bacteroidota
Brachinus elongatulus	Enterococcus	Bacillota
Brachinus elongatulus	Spiroplasma	Mycoplasmatota
Brachynema germari	Pantoea	Pseudomonadota
Brithys crini	Corynebacterium	Actinomycetota
Brithys crini	Klebsiella	Pseudomonadota
Brontispa longissima	Candidatus Mesenet	Pseudomonadota
Bryobia graminum	Rickettsia	Pseudomonadota
Cacopsylla pyri	Liberibacter	Pseudomonadota
Cacopsylla pyricola	Arsenophonus	Pseudomonadota
Cacopsylla pyricola	Candidatus Carsonella	Pseudomonadota
Cacopsylla pyricola	Candidatus Phytoplasma	Mycoplasmatota
Caenocoris dimidiatus	Burkholderia	Pseudomonadota
Calliphoridae	Escherichia	Pseudomonadota
Calliphoridae	Psychrobacter	Pseudomonadota
Calliphoridae	Wolbachia	Pseudomonadota
Callosobruchus chinensis	Wolbachia	Pseudomonadota
Callosobruchus maculatus	Acinetobacter	Pseudomonadota
Callosobruchus maculatus	Citrobacter	Pseudomonadota
Callosobruchus maculatus	Pseudomonas	Pseudomonadota
Callosobruchus maculatus	Staphylococcus	Bacillota
Camponotus	Candidatus Blochmanniella	Pseudomonadota
Camponotus floridanus	Candidatus Blochmanniella	Pseudomonadota
Camponotus japonicus	Candidatus Blochmanniella	Pseudomonadota
Camponotus japonicus	Deinococcus	Other
Camponotus japonicus	Serratia	Pseudomonadota
Camponotus pennalicus	Candidatus Blochmanniella	Pseudomonadota
Camponotus pennalicus	Wolbachia	Pseudomonadota
Cardiocondyla obscurior	Candidatus Westeberhardia	Pseudomonadota
Cassida rubiginosa	Candidatus Stammera	Pseudomonadota
Cavelerius saccharivorus	Burkholderia	Pseudomonadota
Celatoblatta quinquemaculata	Blattabacterium	Bacteroidota
Celatoblatta quinquemaculata	Fusarium	Ascomycota
Celatoblatta quinquemaculata	Mortierella	Other
Celatoblatta quinquemaculata	Pseudomonas	Pseudomonadota
Cephalcia chuxiongica	Serratia	Pseudomonadota
Cephalcia chuxiongica	Wolbachia	Pseudomonadota
Cephalotes	Opitutales	Other
Cephalotes	Pseudomonadales	Pseudomonadota
Cephalotes	Rhizobiales	Pseudomonadota
Cephalotes rohweri	Saccharedens	Pseudomonadota
Cephus cinctus	Spiroplasma	Mycoplasmatota
Ceratitis capitata	Asaia	Pseudomonadota
Ceratitis capitata	Chroococcidiopsis	Other
Ceratitis capitata	Enterobacter	Pseudomonadota
Ceratitis capitata	Klebsiella	Pseudomonadota
Ceratitis capitata	Lactococcus	Bacillota
Ceratitis capitata	Propionibacterium	Actinomycetota
Ceratitis capitata	Providencia	Pseudomonadota
Ceratitis capitata	Wolbachia	Pseudomonadota
Ceratovacuna keduensis	Buchnera	Pseudomonadota
Ceratovacuna keduensis	Serratia	Pseudomonadota
Ceroplastes japonicus	Ophiocordyceps	Ascomycota
Chauliops fallax	Burkholderia	Pseudomonadota
Chelymorpha alternans	Candidatus Stammera	Pseudomonadota
Chilacis typhae	Candidatus Rohrkolberia	Pseudomonadota
Chilo suppressalis	Acinetobacter	Pseudomonadota
Chilo suppressalis	Bacillus	Bacillota
Chilo suppressalis	Enterobacter	Pseudomonadota
Chilo suppressalis	Wolbachia	Pseudomonadota
Chrysomya megacephala	Ignatzschineria	Pseudomonadota
Chrysomya megacephala	Wolbachia	Pseudomonadota
Chrysoperla carnea	Rickettsia	Pseudomonadota
Chrysoperla carnea	Sodalis	Pseudomonadota
Cicadella viridis	Rickettsia	Pseudomonadota
Cicadidae species	Candidatus Karelsulcia	Bacteroidota
Cicadidae species	Candidatus Palibaumannia	Pseudomonadota
Cimex hemipterus	Wolbachia	Pseudomonadota
Cimex hemipterus	Yersinia	Pseudomonadota
Cimex lectularius	Rickettsia	Pseudomonadota
Cimex lectularius	Wolbachia	Pseudomonadota
Cinara cedri	Buchnera	Pseudomonadota
Cinara cedri	Serratia	Pseudomonadota
Cinara cuneomaculata	Buchnera	Pseudomonadota
Cinara strobi	Buchnera	Pseudomonadota
Cinara strobi	Sodalis	Pseudomonadota
Cinara tujafilina	Buchnera	Pseudomonadota
Cinara tujafilina	Serratia	Pseudomonadota
Circulifer tenellus	Candidatus Karelsulcia	Bacteroidota
Circulifer tenellus	Candidatus Nasuia	Pseudomonadota
Circulifer tenellus	Wolbachia	Pseudomonadota
Clanis bilineata tsingtauica	Enterococcus	Bacillota
Clastoptera arizonana	Candidatus Karelsulcia	Bacteroidota
Clastoptera arizonana	Candidatus Zinderia	Pseudomonadota
Cleonus trivittatus	Klebsiella	Pseudomonadota
Cleonus trivittatus	Pseudomonas	Pseudomonadota
Cletus punctigerr	Burkholderia	Pseudomonadota
Cletus rusticus	Burkholderia	Pseudomonadota
Cletus trigonus	Burkholderia	Pseudomonadota
Cnaphalocrocis medinalis	Enterococcus	Bacillota
Coccinella septempunctata	Bradyrhizobium	Pseudomonadota
Coccinella septempunctata	Burkholderia	Pseudomonadota
Coccinella septempunctata	Methylovirgula	Pseudomonadota
Coccinella septempunctata	Rhodobacter	Pseudomonadota
Coccotrypes dactyliperda	Rickettsia	Pseudomonadota
Coccotrypes dactyliperda	Wolbachia	Pseudomonadota
Colladonus geminatus	Candidatus Karelsulcia	Bacteroidota
Colladonus geminatus	Candidatus Nasuia	Pseudomonadota
Colladonus montanus reductus	Candidatus Karelsulcia	Bacteroidota
Colladonus montanus reductus	Candidatus Nasuia	Pseudomonadota
Columbicola wolffhuegeli	Sodalis	Pseudomonadota
Comidoblemmus nipponensis	Wolbachia	Pseudomonadota
Conorhynchus palumbus	Citrobacter	Pseudomonadota
Conorhynchus palumbus	Enterobacter	Pseudomonadota
Conorhynchus palumbus	Klebsiella	Pseudomonadota
Copris tripartitus	Streptomyces	Actinomycetota
Coptotermes	Pseudacidobacterium	Other
Coptotermes	Terracidiphilus	Other
Coptotermes formosanus	Cordyceps	Ascomycota
Coptotermes gestroi	Athelia	Basidiomycota
Corcyra cephalonica	Wolbachia	Pseudomonadota
Corydidarum magnifica	Pseudocitrobacter	Pseudomonadota
Cossus cossus	Bacillus	Bacillota
Costelytra zealandica	Morganella	Pseudomonadota
Cotesia sesamiae	Wolbachia	Pseudomonadota
Cryptocercus punctulatus	Blattabacterium	Bacteroidota
Cryptolestes ferrugineus	Enterococcus	Bacillota
Culex pipiens	Wolbachia	Pseudomonadota
Culex quinquefasciatus	Penicillium	Ascomycota
Culex quinquefasciatus	Serratia	Pseudomonadota
Culex quinquefasciatus	Thorsellia	Pseudomonadota
Culex quinquefasciatus	Wolbachia	Pseudomonadota
Culicoides impunctatus	Rickettsia	Pseudomonadota
Curculio camelliae	Candidatus Curculioniphilus	Pseudomonadota
Curculio chinensis	Acinetobacter	Pseudomonadota
Curculio dentipes	Candidatus Curculioniphilus	Pseudomonadota
